Date,Month,Platform,Customer_Segment,Campaign_Type,Region,Ad_Spend,Campaign_Score,Competitor_Index,Economic_Index,Discount_Pct,Channels_Used,CSAT_Score,Website_Traffic,Seasonal_Factor,Sales
2022-01-01,1,Google Ads,Seniors (51+),Seasonal Promo,West,30858.1,57.39,0.715,0.909,9.24,5,4.37,1729,0.75,17829.59
2022-01-01,1,Google Ads,Youth (18-25),Lead Generation,Central,9689.92,77.41,0.38,1.044,15.21,3,3.02,4081,0.75,7200.61
2022-01-01,1,Social Media,Middle-Aged (36-50),Brand Awareness,West,2736.33,78.55,0.397,1.067,15.06,2,3.12,3260,0.75,5156.02
2022-01-01,1,Email,Corporate,Lead Generation,Central,41775.61,88.08,0.679,0.981,18.31,5,3.46,1308,0.75,30722.98
2022-01-01,1,Social Media,Middle-Aged (36-50),Brand Awareness,North,5784.34,38.97,0.5,1.054,5.58,4,3.03,14665,0.75,5172.19
2022-01-01,1,Social Media,Corporate,Retargeting,South,12597.83,70.73,0.556,0.971,19.67,1,3.59,3372,0.75,9726.81
2022-01-01,1,Google Ads,Youth (18-25),Seasonal Promo,West,20879.78,79.25,0.67,1.067,13.7,4,3.81,4729,0.75,14882.66
2022-01-01,1,Google Ads,Young Adults (26-35),Retargeting,West,16311.25,80.5,0.722,1.091,18.61,4,4.12,9865,0.75,15991.86
2022-01-01,1,TV,Young Adults (26-35),Seasonal Promo,South,39901.91,55.46,0.317,1.09,7.19,1,3.89,6986,0.75,33648.16
2022-01-01,1,Social Media,Middle-Aged (36-50),Lead Generation,West,21568.8,47.88,0.217,1.012,13.03,3,3.8,5309,0.75,14057.02
2022-01-01,1,Google Ads,Corporate,Brand Awareness,West,5645.93,52.19,0.333,0.896,6.31,3,,3873,0.75,3535.89
2022-01-01,1,Email,Young Adults (26-35),Seasonal Promo,Central,118014.43,84.03,0.506,0.939,26.26,4,4.24,10180,0.75,78513.59
2022-01-01,1,Social Media,Middle-Aged (36-50),Lead Generation,Central,16225.4,47.66,0.374,1.06,14.64,5,4.75,4879,0.75,11478.03
2022-01-01,1,Email,Youth (18-25),Retargeting,South,11529.45,37.55,0.555,1.245,6.75,2,3.89,5677,0.75,9788.54
2022-01-01,1,Social Media,Middle-Aged (36-50),Lead Generation,North,35028.78,,0.143,0.966,1.24,5,2.59,14956,0.75,25607.57
2022-01-01,1,Social Media,Young Adults (26-35),Brand Awareness,West,17144.81,55.55,0.508,1.046,20.27,5,4.01,15827,0.75,11644.13
2022-01-01,1,Radio,Corporate,Product Launch,North,,93.01,0.394,0.944,6.44,4,4.93,6429,0.75,17428.45
2022-01-01,1,Print,Middle-Aged (36-50),Brand Awareness,South,150000.0,60.74,0.528,0.903,29.69,4,4.31,5456,0.75,57565.28
2022-01-01,1,TV,Young Adults (26-35),Product Launch,South,10146.44,93.21,0.438,0.932,16.01,2,,9469,0.75,9267.06
2022-01-01,1,Google Ads,Youth (18-25),Product Launch,Central,9722.9,67.12,0.327,0.792,8.67,2,3.85,3821,0.75,10731.26
2022-01-01,1,Social Media,Youth (18-25),Seasonal Promo,West,15011.6,71.34,0.823,1.135,19.73,2,4.26,3831,0.75,12224.8
2022-01-01,1,Email,Young Adults (26-35),Retargeting,East,39007.76,77.35,0.248,0.777,8.26,4,4.45,4616,0.75,26553.19
2022-01-01,1,Google Ads,Young Adults (26-35),Retargeting,South,2961.54,90.48,0.645,0.974,24.61,4,3.63,1774,0.75,6422.19
2022-01-01,1,Social Media,Seniors (51+),Seasonal Promo,West,1871.4,61.74,0.84,0.882,9.25,5,3.55,52176,0.75,3936.35
2022-01-01,1,Google Ads,Middle-Aged (36-50),Lead Generation,North,,49.87,0.531,0.912,29.65,4,4.03,3295,0.75,4997.64
2022-01-01,1,Social Media,Middle-Aged (36-50),Lead Generation,Central,2607.32,53.54,0.801,1.138,18.15,3,4.28,7844,0.75,2694.56
2022-01-01,1,Radio,Youth (18-25),Retargeting,North,8735.66,79.47,0.2,1.02,25.33,3,2.42,4832,0.75,3561.0
2022-01-01,1,Social Media,Seniors (51+),Lead Generation,South,22081.59,81.96,0.495,0.903,2.18,2,3.7,9778,0.75,13161.81
2022-01-01,1,Email,Middle-Aged (36-50),Lead Generation,South,5482.14,83.43,0.466,0.941,10.45,4,2.82,3347,0.75,6512.73
2022-01-01,1,Google Ads,Youth (18-25),Lead Generation,North,3207.26,90.73,0.106,0.923,22.12,3,3.74,6104,0.75,4383.26
2022-01-01,1,Google Ads,Middle-Aged (36-50),Retargeting,South,14318.92,88.56,0.455,0.996,19.65,5,4.64,2100,0.75,10387.66
2022-01-01,1,Google Ads,Middle-Aged (36-50),Seasonal Promo,West,31651.58,58.67,0.395,1.017,,1,3.49,16550,0.75,22223.03
2022-01-01,1,Social Media,Youth (18-25),Brand Awareness,South,2452.9,16.2,0.636,1.19,10.69,5,,9523,0.75,2289.08
2022-01-01,1,Print,Young Adults (26-35),Product Launch,Central,30340.31,67.88,0.851,0.808,7.9,1,4.13,1192,0.75,19090.33
2022-01-01,1,TV,Young Adults (26-35),Retargeting,West,30251.66,86.15,0.169,0.997,18.4,5,4.3,4984,0.75,27484.28
2022-01-01,1,Radio,Youth (18-25),Seasonal Promo,East,34685.78,51.02,0.362,0.968,10.34,3,4.28,1223,0.75,14739.37
2022-01-01,1,Radio,Corporate,Retargeting,South,45183.18,82.68,0.455,1.095,9.27,4,3.82,2209,0.75,31812.13
2022-01-01,1,Email,Seniors (51+),Seasonal Promo,South,120814.78,71.55,0.464,1.035,6.22,1,4.09,12344,0.75,58516.88
2022-01-01,1,Radio,Middle-Aged (36-50),Brand Awareness,Central,9357.26,69.5,0.72,1.059,12.27,4,4.06,409,0.75,6165.54
2022-01-01,1,Social Media,Young Adults (26-35),Seasonal Promo,Central,14906.78,83.65,0.455,1.035,5.87,4,3.45,13978,0.75,14692.26
2022-01-01,1,Social Media,Young Adults (26-35),Brand Awareness,North,8809.29,59.66,0.122,0.907,28.88,3,2.92,7178,0.75,6514.79
2022-01-01,1,Social Media,Middle-Aged (36-50),Seasonal Promo,North,13386.16,86.38,0.668,1.121,4.64,2,3.35,4536,0.75,12880.25
2022-01-01,1,Google Ads,Middle-Aged (36-50),Product Launch,North,61875.11,81.21,0.808,1.08,27.4,2,4.52,11824,0.75,47850.22
2022-01-01,1,Google Ads,Youth (18-25),Lead Generation,Central,3480.69,94.51,0.511,1.092,12.85,1,4.91,73335,0.75,4245.79
2022-01-01,1,Social Media,Middle-Aged (36-50),Brand Awareness,North,5647.4,69.95,0.565,1.126,11.34,3,3.75,1300,0.75,5213.24
2022-01-01,1,TV,Seniors (51+),Seasonal Promo,North,52954.11,64.68,0.23,1.042,6.94,4,4.5,26729,0.75,32668.37
2022-01-01,1,Google Ads,Young Adults (26-35),Lead Generation,East,37050.48,89.94,0.277,1.148,19.07,5,3.65,12918,0.75,29111.11
2022-01-01,1,Social Media,Youth (18-25),Seasonal Promo,North,9291.62,71.96,0.288,1.038,,5,3.97,2428,0.75,7560.4
2022-01-01,1,Google Ads,Seniors (51+),Brand Awareness,South,31394.94,37.28,0.445,0.978,14.03,1,,8306,0.75,16448.5
2022-01-01,1,Social Media,Young Adults (26-35),Brand Awareness,Central,18792.55,95.16,0.843,0.999,1.67,1,4.31,1616,0.75,13047.2
2022-01-01,1,TV,Young Adults (26-35),Product Launch,West,59890.59,71.64,0.517,0.998,27.56,1,3.48,3003,0.75,50344.13
2022-01-01,1,Social Media,Youth (18-25),Retargeting,East,14393.18,90.95,0.254,0.948,29.41,3,3.35,598,0.75,12455.99
2022-01-01,1,Print,Young Adults (26-35),Seasonal Promo,Central,37258.38,75.67,0.313,1.163,12.93,5,3.82,1275,0.75,20611.19
2022-01-01,1,TV,Seniors (51+),Lead Generation,Central,150000.0,51.44,0.407,1.03,18.41,3,4.21,7199,0.75,79882.7
2022-01-01,1,Social Media,Middle-Aged (36-50),Retargeting,South,24296.78,79.67,0.599,1.009,13.51,3,3.88,7865,0.75,18227.39
2022-01-01,1,Social Media,Young Adults (26-35),Retargeting,North,14035.26,85.68,0.452,1.039,9.66,4,3.57,7778,0.75,10878.85
2022-01-01,1,TV,Seniors (51+),Retargeting,South,27513.91,53.52,0.414,1.298,2.32,3,3.35,9285,0.75,19000.28
2022-01-01,1,Email,Seniors (51+),Retargeting,North,9271.67,66.26,0.552,0.887,13.68,3,2.96,5532,0.75,7518.16
2022-01-01,1,Email,Seniors (51+),Retargeting,North,145505.29,73.27,0.293,0.915,24.55,4,3.57,9685,0.75,67760.14
2022-01-01,1,TV,Young Adults (26-35),Lead Generation,Central,15995.63,91.38,0.163,0.862,0.51,2,3.72,14372,0.75,15435.43
2022-01-01,1,Social Media,Young Adults (26-35),Lead Generation,North,10168.67,38.45,0.12,0.977,17.46,4,4.08,6288,0.75,7085.59
2022-01-01,1,Google Ads,Corporate,Seasonal Promo,East,5792.45,74.83,0.301,1.025,26.42,1,3.22,3183,0.75,7876.54
2022-01-01,1,Social Media,Seniors (51+),Brand Awareness,East,40023.43,80.9,0.173,0.953,6.53,2,,4249,0.75,16619.98
2022-01-01,1,TV,Youth (18-25),Retargeting,East,31798.91,45.73,0.369,0.946,5.5,5,3.5,2129,0.75,21078.05
2022-01-01,1,Email,Youth (18-25),Brand Awareness,Central,8124.55,99.65,0.718,1.014,23.17,3,3.54,11514,0.75,5123.5
2022-01-01,1,Google Ads,Young Adults (26-35),Retargeting,South,23776.46,88.29,0.673,0.95,7.65,2,4.42,986,0.75,16538.09
2022-01-01,1,Social Media,Corporate,Seasonal Promo,West,2955.56,40.94,0.589,1.031,5.76,5,2.56,4190,0.75,4494.88
2022-01-01,1,Google Ads,Middle-Aged (36-50),Brand Awareness,North,16074.2,66.97,0.782,1.111,11.34,4,3.19,8683,0.75,11086.82
2022-01-01,1,Google Ads,Young Adults (26-35),Brand Awareness,West,21010.05,55.79,0.326,1.068,11.78,4,3.82,1772,0.75,14370.09
2022-01-01,1,Email,Youth (18-25),Brand Awareness,South,73668.44,63.87,0.808,1.088,26.22,1,3.8,1214,0.75,32045.93
2022-01-01,1,Email,Middle-Aged (36-50),Retargeting,South,6180.67,69.63,0.419,1.109,18.55,1,2.95,502,0.75,6694.09
2022-01-01,1,Radio,Seniors (51+),Seasonal Promo,Central,3720.63,28.53,0.421,1.028,12.18,2,3.55,3698,0.75,1695.51
2022-01-01,1,Google Ads,Young Adults (26-35),Brand Awareness,East,5456.55,26.77,0.424,0.984,16.03,3,4.28,1566,0.75,3402.12
2022-01-01,1,Social Media,Seniors (51+),Seasonal Promo,East,3510.21,70.3,0.178,0.923,28.62,4,3.22,11810,0.75,4562.66
2022-01-01,1,Email,Corporate,Lead Generation,South,50851.12,73.68,0.88,0.961,3.4,2,4.34,1041,0.75,34133.34
2022-01-01,1,TV,Young Adults (26-35),Lead Generation,Central,62858.36,66.99,0.211,0.948,6.23,2,3.44,8338,0.75,44974.25
2022-01-01,1,Email,Middle-Aged (36-50),Product Launch,Central,18402.04,75.94,0.373,1.073,28.88,2,2.86,1336,0.75,13204.51
2022-01-01,1,TV,Young Adults (26-35),Lead Generation,North,45310.54,53.8,0.355,1.035,28.72,1,4.21,1082,0.75,32731.42
2022-01-01,1,Google Ads,Seniors (51+),Lead Generation,East,15274.78,76.6,0.16,1.07,5.31,4,3.93,1475,0.75,7221.33
2022-01-01,1,Google Ads,Middle-Aged (36-50),Brand Awareness,South,12147.62,77.44,0.222,0.884,4.35,1,3.07,14405,0.75,6094.25
2022-01-01,1,Google Ads,Middle-Aged (36-50),Brand Awareness,West,9575.49,96.44,0.136,1.143,12.63,1,3.53,1476,0.75,6782.18
2022-01-01,1,Social Media,Seniors (51+),Lead Generation,East,9794.82,64.9,0.334,0.957,1.49,2,4.66,15396,0.75,5112.38
2022-01-01,1,Social Media,Young Adults (26-35),Brand Awareness,North,2841.82,66.84,0.793,0.89,19.65,5,4.13,6018,0.75,207.16
2022-01-01,1,Social Media,Corporate,Retargeting,Central,17400.51,77.6,0.372,0.956,2.32,5,4.36,2926,0.75,17394.42
2022-01-01,1,Email,Middle-Aged (36-50),Lead Generation,South,12831.6,77.81,0.199,1.248,1.74,5,3.23,1715,0.75,11133.24
2022-01-01,1,Google Ads,Youth (18-25),Retargeting,East,28151.64,66.87,0.617,0.961,14.56,2,4.41,33005,0.75,19258.79
2022-01-01,1,Google Ads,Middle-Aged (36-50),Brand Awareness,West,14669.47,73.09,0.897,0.967,28.73,3,3.09,2728,0.75,9726.57
2022-01-01,1,Radio,Seniors (51+),Lead Generation,North,11353.67,83.95,0.286,0.981,12.8,4,3.1,2740,0.75,6927.47
2022-01-01,1,Social Media,Young Adults (26-35),Retargeting,North,5590.4,75.16,0.324,0.985,10.69,2,4.22,20976,0.75,6670.8
2022-01-01,1,Google Ads,Seniors (51+),Product Launch,East,14359.3,77.02,0.877,0.922,29.94,2,3.13,25044,0.75,9278.81
2022-01-01,1,TV,Corporate,Brand Awareness,West,27951.81,55.9,0.243,1.014,15.96,1,4.56,4272,0.75,18766.05
2022-01-01,1,Social Media,Young Adults (26-35),Seasonal Promo,North,4258.45,80.67,0.509,1.108,11.26,5,3.17,16062,0.75,7668.72
2022-01-01,1,Social Media,Corporate,Retargeting,South,14580.99,78.58,0.292,1.031,,2,3.31,2663,0.75,14315.44
2022-01-01,1,Social Media,Youth (18-25),Retargeting,North,16865.8,49.76,0.846,0.889,5.85,3,4.38,46489,0.75,11727.25
2022-01-01,1,Social Media,Young Adults (26-35),Retargeting,West,6515.47,79.52,0.885,0.966,15.37,4,3.49,1324,0.75,6664.47
2022-01-01,1,Radio,Youth (18-25),Brand Awareness,Central,7421.55,58.59,0.752,0.945,13.17,3,4.2,1970,0.75,5951.17
2022-01-01,1,TV,Seniors (51+),Brand Awareness,Central,16824.83,98.82,0.352,1.005,8.12,2,3.24,18264,0.75,10279.23
2022-01-01,1,Email,Middle-Aged (36-50),Retargeting,East,4300.9,68.05,0.423,1.133,4.82,2,3.66,3680,0.75,4249.07
2022-01-01,1,Radio,Youth (18-25),Lead Generation,West,18956.91,57.43,0.294,0.985,9.34,1,4.17,19383,0.75,9837.86
2022-01-01,1,TV,Young Adults (26-35),Product Launch,North,5456.95,62.92,0.813,0.991,15.26,3,3.38,3083,0.75,6789.18
2022-01-01,1,Social Media,Middle-Aged (36-50),Lead Generation,North,38671.33,76.62,0.832,1.178,1.75,1,4.31,9502,0.75,24119.88
2022-01-01,1,Radio,Youth (18-25),Brand Awareness,Central,138389.54,62.38,0.435,1.088,4.61,3,3.62,2457,0.75,55399.1
2022-01-01,1,Google Ads,Seniors (51+),Seasonal Promo,Central,5649.05,79.02,0.625,1.057,28.43,5,3.86,4556,0.75,4895.61
2022-01-01,1,TV,Seniors (51+),Lead Generation,South,22792.98,,0.232,1.196,16.29,5,3.3,1365,0.75,12992.0
2022-01-01,1,Radio,Middle-Aged (36-50),Retargeting,Central,6459.18,54.84,0.448,1.049,1.9,3,3.41,4685,0.75,5089.63
2022-01-01,1,Google Ads,Corporate,Retargeting,South,37833.65,,0.605,0.801,20.79,1,3.38,2043,0.75,32767.37
2022-01-01,1,Social Media,Young Adults (26-35),Product Launch,North,3769.67,42.83,0.408,1.083,1.85,5,3.5,39048,0.75,4597.15
2022-01-01,1,Social Media,Corporate,Seasonal Promo,South,21602.98,86.53,0.386,0.841,22.17,2,4.57,3566,0.75,22542.1
2022-01-01,1,Google Ads,Middle-Aged (36-50),Retargeting,South,5580.37,59.74,0.101,1.045,22.5,4,4.36,1483,0.75,5637.95
2022-01-01,1,TV,Middle-Aged (36-50),Retargeting,East,10861.89,75.34,0.743,0.829,19.53,1,4.03,9816,0.75,8054.9
2022-01-01,1,TV,Youth (18-25),Product Launch,Central,4764.63,48.79,0.811,0.953,21.97,3,3.47,1468,0.75,4031.64
2022-01-01,1,Social Media,Seniors (51+),Lead Generation,South,30404.64,39.38,0.876,0.964,2.64,4,3.38,11813,0.75,15209.04
2022-01-01,1,Google Ads,Young Adults (26-35),Brand Awareness,North,5784.98,90.4,0.675,0.923,21.8,4,3.32,2813,0.75,6948.8
2022-01-01,1,Google Ads,Youth (18-25),Lead Generation,West,23201.32,59.15,0.539,0.965,4.1,2,3.65,4732,0.75,13243.99
2022-01-01,1,Social Media,Youth (18-25),Brand Awareness,South,9470.17,49.79,0.315,1.103,10.19,1,3.94,4065,0.75,4716.43
2022-01-01,1,Social Media,Middle-Aged (36-50),Retargeting,Central,11914.69,84.91,0.899,0.929,28.28,4,4.11,3813,0.75,8516.23
2022-01-01,1,Google Ads,Middle-Aged (36-50),Retargeting,East,15486.99,96.06,0.572,1.055,15.09,1,3.81,5230,0.75,9954.09
2022-01-01,1,Radio,Middle-Aged (36-50),Retargeting,North,6236.51,71.14,0.645,0.903,29.02,2,4.08,2532,0.75,9864.4
2022-01-01,1,Google Ads,Seniors (51+),Brand Awareness,East,16487.65,78.5,0.646,0.981,2.67,3,4.27,1649,0.75,8044.17
2022-01-01,1,Google Ads,Youth (18-25),Seasonal Promo,West,61718.23,87.03,0.776,1.032,14.33,4,3.61,5109,0.75,38648.28
2022-01-01,1,Email,Middle-Aged (36-50),Lead Generation,South,6135.86,80.86,0.108,0.9,1.87,4,4.35,3301,0.75,4314.02
2022-01-01,1,Google Ads,Youth (18-25),Retargeting,South,43122.93,61.13,0.276,0.869,18.91,4,3.31,1367,0.75,27881.96
2022-01-01,1,Print,Seniors (51+),Retargeting,Central,59760.35,91.55,0.632,1.049,2.36,1,4.09,9084,0.75,22724.92
2022-01-01,1,Print,Seniors (51+),Lead Generation,South,5906.71,63.7,0.816,1.112,5.26,4,3.82,4835,0.75,7180.15
2022-01-01,1,Social Media,Middle-Aged (36-50),Brand Awareness,North,3117.99,90.12,0.648,0.992,7.76,1,3.89,1657,0.75,7372.75
2022-01-01,1,Google Ads,Middle-Aged (36-50),Brand Awareness,West,18069.14,64.78,0.431,0.954,22.46,5,3.62,3874,0.75,10033.37
2022-01-01,1,Google Ads,Young Adults (26-35),Seasonal Promo,East,7727.9,65.66,0.389,1.016,4.92,5,4.42,4253,0.75,9768.55
2022-01-01,1,Social Media,Young Adults (26-35),Product Launch,West,86560.88,42.67,0.69,1.006,25.4,1,3.5,1753,0.75,68602.15
2022-01-01,1,Social Media,Seniors (51+),Retargeting,South,13832.93,68.29,0.693,1.024,3.96,5,4.49,116124,0.75,7526.1
2022-01-01,1,Email,Young Adults (26-35),Brand Awareness,East,5989.72,73.94,0.586,0.747,1.06,2,4.5,4876,0.75,3165.14
2022-01-01,1,Google Ads,Young Adults (26-35),Lead Generation,Central,4242.21,86.19,0.333,0.893,11.85,2,4.03,3944,0.75,2253.94
2022-01-01,1,Social Media,Young Adults (26-35),Seasonal Promo,West,39731.71,87.96,0.84,0.915,29.38,5,3.64,56211,0.75,29872.77
2022-01-01,1,Social Media,Seniors (51+),Seasonal Promo,East,7546.33,,0.542,1.015,3.31,3,3.38,7758,0.75,5084.63
2022-01-01,1,Radio,Young Adults (26-35),Brand Awareness,East,13958.29,55.51,0.732,1.019,3.05,1,2.8,16460,0.75,7725.21
2022-01-01,1,Social Media,Youth (18-25),Brand Awareness,East,34745.41,89.82,0.271,1.064,22.53,5,4.07,5400,0.75,17064.78
2022-01-01,1,Social Media,Middle-Aged (36-50),Seasonal Promo,North,8231.65,46.17,0.375,1.026,9.36,1,3.24,5240,0.75,8657.56
2022-01-01,1,Google Ads,Seniors (51+),Lead Generation,West,12760.01,56.71,0.8,0.87,21.52,5,3.31,2089,0.75,8162.25
2022-01-01,1,Print,Youth (18-25),Lead Generation,East,13140.2,72.7,0.14,1.145,6.0,2,4.08,9593,0.75,8085.85
2022-01-01,1,Social Media,Young Adults (26-35),Brand Awareness,West,26458.28,78.58,0.51,1.127,13.8,3,3.59,31216,0.75,18799.52
2022-01-01,1,Email,Youth (18-25),Retargeting,East,24118.74,54.94,0.485,0.874,7.96,1,3.91,23791,0.75,14723.48
2022-01-01,1,TV,Young Adults (26-35),Seasonal Promo,Central,10720.21,78.14,0.701,1.033,13.55,3,4.03,1464,0.75,10568.09
2022-01-01,1,Social Media,Young Adults (26-35),Product Launch,Central,14237.71,41.61,0.326,0.94,23.07,2,4.6,31557,0.75,11465.25
2022-01-01,1,Email,Middle-Aged (36-50),Retargeting,Central,,95.23,0.275,1.014,22.86,4,3.9,2148,0.75,9859.85
2022-01-01,1,Google Ads,Middle-Aged (36-50),Retargeting,South,3048.45,59.76,0.841,1.105,15.47,4,3.53,1918,0.75,4715.17
2022-01-01,1,Email,Middle-Aged (36-50),Brand Awareness,East,17285.11,87.21,0.557,1.213,27.85,1,3.76,2026,0.75,11235.52
2022-01-01,1,Email,Young Adults (26-35),Retargeting,South,88626.99,36.11,0.184,1.075,7.91,2,3.51,3324,0.75,54553.63
2022-01-01,1,Google Ads,Seniors (51+),Lead Generation,West,5520.82,42.93,0.254,1.029,7.21,1,4.74,711,0.75,5037.56
2022-01-01,1,Social Media,Young Adults (26-35),Retargeting,South,6167.02,91.57,0.899,0.966,18.41,1,3.99,5180,0.75,5856.18
2022-01-01,1,TV,Corporate,Lead Generation,West,5593.01,42.92,0.256,1.018,18.64,1,4.09,3791,0.75,6972.29
2022-01-01,1,Google Ads,Middle-Aged (36-50),Brand Awareness,West,27572.99,81.01,0.588,1.136,1.4,3,4.48,5123,0.75,16272.02
2022-01-01,1,Social Media,Youth (18-25),Brand Awareness,West,20920.51,85.73,0.436,0.996,18.23,5,3.38,2992,0.75,13553.92
2022-01-01,1,Social Media,Middle-Aged (36-50),Lead Generation,South,11401.07,55.31,0.808,0.911,11.23,2,3.09,1000,0.75,6970.18
2022-01-01,1,Email,Young Adults (26-35),Brand Awareness,East,5334.66,89.83,0.704,0.838,22.42,3,3.79,3787,0.75,5538.33
2022-01-01,1,Email,Middle-Aged (36-50),Brand Awareness,South,14652.65,77.92,0.578,1.051,24.24,5,3.09,16653,0.75,10680.66
2022-01-01,1,Social Media,Youth (18-25),Product Launch,East,2794.41,86.96,0.109,1.025,16.56,1,3.59,1789,0.75,4693.22
2022-01-01,1,Google Ads,Youth (18-25),Lead Generation,East,15420.09,57.59,0.804,0.935,0.05,4,2.71,2044,0.75,7792.34
2022-01-01,1,Social Media,Seniors (51+),Retargeting,West,31937.12,53.64,0.456,1.103,19.09,3,3.12,7745,0.75,17537.07
2022-01-01,1,Email,Young Adults (26-35),Seasonal Promo,South,3823.04,78.74,0.845,0.958,22.47,2,4.41,1425,0.75,6995.13
2022-01-01,1,Social Media,Seniors (51+),Product Launch,East,2885.58,86.97,0.496,0.987,7.47,2,4.0,6159,0.75,4311.07
2022-01-01,1,Email,Young Adults (26-35),Retargeting,Central,64824.43,70.73,0.655,0.998,13.94,5,4.7,7662,0.75,40651.23
2022-01-01,1,Google Ads,Middle-Aged (36-50),Seasonal Promo,East,7246.26,93.15,0.155,0.965,28.97,3,3.78,2798,0.75,9749.09
2022-01-01,1,Radio,Middle-Aged (36-50),Lead Generation,Central,41603.84,85.52,0.696,1.024,8.94,1,3.77,2322,0.75,25242.62
2022-01-01,1,Social Media,Middle-Aged (36-50),Lead Generation,South,11452.95,91.4,0.37,1.115,6.69,5,3.91,1201,0.75,8217.66
2022-01-01,1,Google Ads,Young Adults (26-35),Lead Generation,South,11362.18,96.36,0.381,0.886,6.33,2,5.0,2228,0.75,9155.54
2022-01-01,1,Social Media,Young Adults (26-35),Retargeting,South,20710.84,,0.195,1.049,16.76,3,4.33,8671,0.75,16697.32
2022-01-01,1,Radio,Youth (18-25),Retargeting,East,5519.27,80.03,0.217,1.017,28.49,4,3.38,11364,0.75,6262.99
2022-01-01,1,Radio,Young Adults (26-35),Lead Generation,North,15252.48,44.93,0.249,1.015,18.26,1,4.0,5237,0.75,9590.5
2022-01-01,1,Social Media,Middle-Aged (36-50),Brand Awareness,East,9122.6,96.4,0.363,1.087,9.1,2,3.88,2658,0.75,7996.82
2022-01-01,1,Email,Corporate,Retargeting,East,3567.09,56.81,0.814,1.005,19.16,3,4.16,5288,0.75,4634.0
2022-01-01,1,TV,Seniors (51+),Brand Awareness,West,18722.51,65.48,0.395,1.048,18.75,4,4.74,2168,0.75,14237.63
2022-01-01,1,Email,Seniors (51+),Retargeting,West,10267.02,54.79,0.679,1.072,17.91,2,4.09,5878,0.75,7799.96
2022-01-01,1,Google Ads,Seniors (51+),Retargeting,East,11418.33,68.94,0.166,0.95,4.78,4,3.61,10371,0.75,7795.95
2022-01-01,1,Social Media,Middle-Aged (36-50),Seasonal Promo,Central,3983.19,59.38,0.573,1.03,19.04,2,4.73,3086,0.75,4725.87
2022-01-01,1,Social Media,Young Adults (26-35),Seasonal Promo,West,65604.55,76.22,0.486,0.975,12.9,5,3.15,2201,0.75,50003.88
2022-01-01,1,Radio,Corporate,Seasonal Promo,East,32103.3,85.04,0.882,0.987,0.56,5,3.66,3017,0.75,22831.83
2022-01-01,1,Radio,Middle-Aged (36-50),Lead Generation,North,35036.86,75.12,0.777,0.968,16.19,5,4.25,14581,0.75,20210.97
2022-01-01,1,Email,Middle-Aged (36-50),Seasonal Promo,Central,9843.39,59.46,0.464,1.047,29.68,3,3.4,80123,0.75,8774.76
